"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Charlevoix County, MI"	"26029"	1242	104597	1187.4
	"Cheboygan County, MI"	"26031"	1501	101419	1480.0
	"Chippewa County, MI"	"26033"	1602	148782	1076.7
	"Clare County, MI"	"26035"	1973	123249	1600.8
	"Clinton County, MI"	"26037"	2721	318433	854.5
	"Crawford County, MI"	"26039"	806	55892	1442.1
	"Delta County, MI"	"26041"	2074	142865	1451.7
	"Dickinson County, MI"	"26043"	1369	100846	1357.5
	"Eaton County, MI"	"26045"	4693	440390	1065.6
	"Emmet County, MI"	"26047"	1561	133407	1170.1
	"Genesee County, MI"	"26049"	20363	1622293	1255.2
	"Gladwin County, MI"	"26051"	1661	101634	1634.3
	"Gogebic County, MI"	"26053"	848	56755	1494.1
	"Grand Traverse County, MI"	"26055"	3955	372845	1060.8
	"Gratiot County, MI"	"26057"	2060	161876	1272.6
	"Hillsdale County, MI"	"26059"	2305	182670	1261.8
	"Houghton County, MI"	"26061"	1490	142155	1048.2
	"Huron County, MI"	"26063"	1915	123453	1551.2
	"Ingham County, MI"	"26065"	9903	1166359	849.1
	"Ionia County, MI"	"26067"	2303	258013	892.6
	"Iosco County, MI"	"26069"	1788	100488	1779.3
	"Iron County, MI"	"26071"	828	44315	1868.4
	"Isabella County, MI"	"26073"	2304	279442	824.5
	"Jackson County, MI"	"26075"	7525	631173	1192.2
	"Kalamazoo County, MI"	"26077"	9523	1061912	896.8
	"Kalkaska County, MI"	"26079"	923	71868	1284.3
	"Kent County, MI"	"26081"	21144	2628157	804.5
	"Keweenaw County, MI"	"26083"	111	8467	1311.0
	"Lake County, MI"	"26085"	743	46908	1584.0
	"Lapeer County, MI"	"26087"	4029	350905	1148.2
	"Leelanau County, MI"	"26089"	1091	87011	1253.9
	"Lenawee County, MI"	"26091"	4612	392333	1175.5
	"Livingston County, MI"	"26093"	6601	767889	859.6
	"Luce County, MI"	"26095"	309	24764	1247.8
	"Mackinac County, MI"	"26097"	677	43264	1564.8
	"Macomb County, MI"	"26099"	38696	3490313	1108.7
	"Manistee County, MI"	"26101"	1389	98562	1409.3
	"Marquette County, MI"	"26103"	2872	264883	1084.3
	"Mason County, MI"	"26105"	1548	116572	1327.9
	"Mecosta County, MI"	"26107"	1773	174812	1014.2
	"Menominee County, MI"	"26109"	1220	90979	1341.0
	"Midland County, MI"	"26111"	3330	333247	999.3
	"Missaukee County, MI"	"26113"	735	60535	1214.2
	"Monroe County, MI"	"26115"	6741	602075	1119.6
	"Montcalm County, MI"	"26117"	2866	254808	1124.8
	"Montmorency County, MI"	"26119"	718	37267	1926.6
	"Muskegon County, MI"	"26121"	7849	694920	1129.5
	"Newaygo County, MI"	"26123"	2212	196568	1125.3
	"Oakland County, MI"	"26125"	46203	5023703	919.7
	"Oceana County, MI"	"26127"	1180	106730	1105.6
	"Ogemaw County, MI"	"26129"	1393	83795	1662.4
	"Ontonagon County, MI"	"26131"	417	22827	1826.8
	"Osceola County, MI"	"26133"	1064	93733	1135.1
	"Oscoda County, MI"	"26135"	578	33253	1738.2
	"Otsego County, MI"	"26137"	1231	98863	1245.2
	"Ottawa County, MI"	"26139"	9070	1171594	774.2
	"Presque Isle County, MI"	"26141"	791	50660	1561.4
	"Roscommon County, MI"	"26143"	1684	95875	1756.5
	"Saginaw County, MI"	"26145"	9527	761075	1251.8
