"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Jan., 2021 (provisional)"	"2021/01"	61917	Not Applicable	Not Applicable	0.5%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Feb., 2021 (provisional)"	"2021/02"	48630	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Mar., 2021 (provisional)"	"2021/03"	47164	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Apr., 2021 (provisional)"	"2021/04"	44348	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"May, 2021 (provisional)"	"2021/05"	43225	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Jun., 2021 (provisional)"	"2021/06"	39576	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Jul., 2021 (provisional)"	"2021/07"	40791	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	43472	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	44665	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	47684	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	47600	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2021 (provisional and partial)"	"2021"	"Dec., 2021 (provisional and partial)"	"2021/12"	26658	Not Applicable	Not Applicable	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Jan., 2018"	"2018/01"	65615	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Feb., 2018"	"2018/02"	54293	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Mar., 2018"	"2018/03"	56722	Not Applicable	Not Applicable	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Apr., 2018"	"2018/04"	54127	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"May, 2018"	"2018/05"	52405	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Jun., 2018"	"2018/06"	49786	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Jul., 2018"	"2018/07"	51070	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Aug., 2018"	"2018/08"	51012	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Sep., 2018"	"2018/09"	50587	Not Applicable	Not Applicable	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"Oct., 2018"	"2018/10"	54060	Not Applicable	Not Applicable	0.4%
